CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
100069927,01/21/2016,15:15:00,,,84,01/21/2016,351,CRIMINAL MISCHIEF & RELATED OF,259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",COMPLETED,MISDEMEANOR,BROOKLYN,FRONT OF,STREET,N.Y. POLICE DEPT,0,,,NA,988175,190975,,,,,40.690866375,-73.985848057,"(40.690866375, -73.985848057)",PATROL BORO BKLYN NORTH,,45-64,BLACK,M
100070035,07/19/2012,12:00:00,07/23/2012,06:20:00,120,07/23/2012,351,CRIMINAL MISCHIEF & RELATED OF,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,STATEN ISLAND,INSIDE,STREET,N.Y. POLICE DEPT,0,NA,,NA,936722,172119,,UNKNOWN,U,,40.638984176,-74.171252305,"(40.638984176, -74.171252305)",PATROL BORO STATEN ISLAND,,25-44,BLACK,F
100070158,11/27/2013,14:50:00,11/27/2013,15:33:00,24,11/27/2013,112,THEFT-FRAUD,739,"FRAUD,UNCLASSIFIED-FELONY",COMPLETED,FELONY,MANHATTAN,INSIDE,TELECOMM. STORE,N.Y. POLICE DEPT,0,NA,,NA,993311,231911,,,,,40.803221643,-73.967272709,"(40.803221643, -73.967272709)",PATROL BORO MAN NORTH,,,UNKNOWN,D
100070163,09/11/2007,12:00:00,09/11/2007,13:00:00,73,09/11/2007,235,DANGEROUS DRUGS,569,"MARIJUANA, SALE 4 & 5",COMPLETED,MISDEMEANOR,BROOKLYN,,STREET,N.Y. POLICE DEPT,0,NA,,NA,1009480,179504,,,,,40.659345985,-73.909066077,"(40.659345985, -73.909066077)",PATROL BORO BKLYN NORTH,,,UNKNOWN,E
100070275,10/16/2010,03:40:00,,,48,10/16/2010,351,CRIMINAL MISCHIEF & RELATED OF,259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,NA,,NA,1017115,250804,,,,,40.85502101,-73.881199099,"(40.85502101, -73.881199099)",PATROL BORO BRONX,,,UNKNOWN,D
100070340,10/19/2013,23:00:00,,,44,10/20/2013,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,BRONX,FRONT OF,STREET,N.Y. POLICE DEPT,0,NA,,NA,1006174,245765,,WHITE HISPANIC,M,,40.841224391,-73.920765724,"(40.841224391, -73.920765724)",PATROL BORO BRONX,,45-64,WHITE HISPANIC,M
100070484,06/09/2017,00:30:00,06/09/2017,00:45:00,94,06/09/2017,107,BURGLARY,213,"BURGLARY,COMMERCIAL,NIGHT",COMPLETED,FELONY,BROOKLYN,INSIDE,COMMERCIAL BUILDING,N.Y. POLICE DEPT,0,,,NA,999088,200446,UNKNOWN,WHITE,U,,40.716850478,-73.94647537,"(40.716850478, -73.94647537)",PATROL BORO BKLYN NORTH,,UNKNOWN,UNKNOWN,D
100070572,09/02/2019,15:10:00,09/02/2019,15:18:00,62,09/02/2019,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,BROOKLYN,REAR OF,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,,,,988493,157594,45-64,ASIAN / PACIFIC ISLANDER,M,,40.599242573000026,-73.98472235199995,"(40.599242573000026, -73.98472235199995)",PATROL BORO BKLYN SOUTH,,25-44,UNKNOWN,F
100070884,04/08/2014,03:17:00,,,49,08/29/2014,105,ROBBERY,397,"ROBBERY,OPEN AREA UNCLASSIFIED",ATTEMPTED,FELONY,BRONX,FRONT OF,STREET,N.Y. POLICE DEPT,0,,,NA,1021850,253776,,UNKNOWN,U,,40.863159355,-73.864066094,"(40.863159355, -73.864066094)",PATROL BORO BRONX,,,UNKNOWN,E
100070894,02/21/2006,15:31:00,02/21/2006,16:10:00,18,02/21/2006,107,BURGLARY,231,"BURGLARY,TRUCK DAY",COMPLETED,FELONY,MANHATTAN,INSIDE,STREET,N.Y. POLICE DEPT,0,NA,,NA,992076,215691,,,,,40.758703214,-73.971752475,"(40.758703214, -73.971752475)",PATROL BORO MAN SOUTH,,,UNKNOWN,D
100070906,05/20/2009,17:00:00,05/20/2009,17:15:00,5,05/20/2009,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,NA,,NA,986687,202177,,,,,40.721613762,-73.991209671,"(40.721613762, -73.991209671)",PATROL BORO MAN SOUTH,,25-44,BLACK,F
100071000,04/20/2016,11:50:00,04/20/2016,11:55:00,77,04/20/2016,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,STORE UNCLASSIFIED,N.Y. POLICE DEPT,0,,,NA,1003530,185361,UNKNOWN,BLACK,M,,40.675437098,-73.930494637,"(40.675437098, -73.930494637)",PATROL BORO BKLYN NORTH,,45-64,WHITE HISPANIC,M
100071041,02/27/2013,10:00:00,,,10,02/27/2013,112,THEFT-FRAUD,739,"FRAUD,UNCLASSIFIED-FELONY",COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,NA,,NA,983355,211219,,,,,40.746432121,-74.003231473,"(40.746432121, -74.003231473)",PATROL BORO MAN SOUTH,,25-44,WHITE,M
100071100,12/07/2017,22:00:00,,,30,12/08/2017,344,ASSAULT 3 & RELATED OFFENSES,113,"MENACING,UNCLASSIFIED",COMPLETED,MISDEMEANOR,MANHATTAN,,STREET,N.Y. POLICE DEPT,0,,,NA,999539,239499,18-24,BLACK HISPANIC,M,,40.824040004,-73.944759612,"(40.824040004, -73.944759612)",PATROL BORO MAN NORTH,,18-24,BLACK HISPANIC,F
100071187,12/14/2019,20:45:00,12/14/2019,22:30:00,81,12/15/2019,109,GRAND LARCENY,418,"LARCENY,GRAND BY ACQUIRING LOST CREDIT CARD",COMPLETED,FELONY,BROOKLYN,FRONT OF,STREET,N.Y. POLICE DEPT,0,,,,1001546,190106,,,,,40.68846514200004,-73.93763502499998,"(40.68846514200004, -73.93763502499998)",PATROL BORO BKLYN NORTH,,18-24,WHITE,F
100071234,11/08/2018,10:00:00,11/08/2018,11:36:00,48,11/08/2018,107,BURGLARY,211,"BURGLARY,COMMERCIAL,DAY",COMPLETED,FELONY,BRONX,OPPOSITE OF,PARKING LOT/GARAGE (PUBLIC),N.Y. POLICE DEPT,0,,,,1015010,250473,45-64,WHITE HISPANIC,M,,40.854120099000056,-73.88880988799998,"(40.854120099, -73.888809888)",PATROL BORO BRONX,,UNKNOWN,UNKNOWN,D
100071324,05/10/2018,19:35:00,05/10/2018,20:15:00,105,05/10/2018,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,QUEENS,REAR OF,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,,,,1058720,195030,45-64,BLACK,F,,40.701683932000044,-73.731421707,"(40.701683932, -73.731421707)",PATROL BORO QUEENS SOUTH,,<18,BLACK,F
100071387,08/27/2007,00:01:00,08/27/2007,00:20:00,40,08/27/2007,341,PETIT LARCENY,321,"LARCENY,PETIT FROM AUTO",COMPLETED,MISDEMEANOR,BRONX,FRONT OF,STREET,N.Y. POLICE DEPT,0,NA,,NA,1006828,237680,,,,,40.819031741,-73.918429307,"(40.819031741, -73.918429307)",PATROL BORO BRONX,,,UNKNOWN,M
100071415,07/19/2012,20:00:00,07/20/2012,07:15:00,83,07/20/2012,110,GRAND LARCENY OF MOTOR VEHICLE,441,"LARCENY,GRAND OF AUTO",COMPLETED,FELONY,BROOKLYN,FRONT OF,STREET,N.Y. POLICE DEPT,0,NA,,NA,1008299,191576,,,,,40.69248418,-73.913279626,"(40.69248418, -73.913279626)",PATROL BORO BKLYN NORTH,,45-64,WHITE HISPANIC,M
100071490,08/24/2014,00:15:00,,,13,08/24/2014,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,MANHATTAN,,STREET,N.Y. TRANSIT POLICE,1,,,NA,986553,207131,,,,4,40.735211323,-73.991691398,"(40.735211323, -73.991691398)",PATROL BORO MAN SOUTH,UNION SQUARE,25-44,WHITE HISPANIC,M
100071494,11/02/2013,22:00:00,11/03/2013,08:00:00,62,11/03/2013,121,CRIMINAL MISCHIEF & RELATED OF,267,"MISCHIEF, CRIMINAL 3 & 2, OF M",COMPLETED,FELONY,BROOKLYN,,STREET,N.Y. POLICE DEPT,0,NA,,NA,984235,157250,,,,,40.598299377,-74.000055454,"(40.598299377, -74.000055454)",PATROL BORO BKLYN SOUTH,,45-64,WHITE,F
100071574,09/11/2009,15:00:00,09/11/2009,15:05:00,81,09/13/2009,109,GRAND LARCENY,438,"LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED",COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,NA,,NA,1005000,189538,,,,,40.686898689,-73.925182245,"(40.686898689, -73.925182245)",PATROL BORO BKLYN NORTH,,25-44,BLACK,F
100071825,03/09/2007,19:00:00,03/10/2007,09:00:00,42,03/10/2007,351,CRIMINAL MISCHIEF & RELATED OF,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,BRONX,FRONT OF,STREET,N.Y. POLICE DEPT,0,NA,,NA,1013251,243005,,,,,40.83362859,-73.895200629,"(40.83362859, -73.895200629)",PATROL BORO BRONX,,,UNKNOWN,M
100071918,10/01/2020,20:30:00,10/02/2020,09:00:00,75,10/05/2020,109,GRAND LARCENY,422,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)",COMPLETED,FELONY,BROOKLYN,FRONT OF,STREET,N.Y. POLICE DEPT,0,,,,1013800,180356,,,,,40.66167117300005,-73.89349197399997,"(40.66167117300005, -73.89349197399997)",PATROL BORO BKLYN NORTH,,18-24,WHITE HISPANIC,M
